book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
gotobi,USDJPY,2019-10-25 03:55:00,2019-10-25 09:00:00,SELL,108.68986,108.67929,0.28689,signal
gotobi,USDJPY,2019-10-31 03:55:00,2019-10-31 09:00:00,SELL,108.83761,108.69246,0.23181,signal
meanrev,AUDUSD,2019-11-05 01:00:00,2019-11-12 01:00:00,SELL,0.68772,0.6846,0.01029,signal
gotobi,USDJPY,2019-11-05 02:55:00,2019-11-05 08:00:00,SELL,108.76285,108.77336,0.22709,signal
meanrev,USDJPY,2019-11-07 01:00:00,2019-11-15 01:00:00,SELL,108.97213,108.39889,1.14256,signal
gotobi,USDJPY,2019-11-08 02:55:00,2019-11-08 08:00:00,SELL,109.33857,109.25048,0.24634,signal
gotobi,USDJPY,2019-11-15 02:55:00,2019-11-15 08:00:00,SELL,108.57265,108.59214,0.26561,signal
meanrev,AUDUSD,2019-11-18 01:00:00,2019-12-02 01:00:00,BUY,0.68135,0.67646,0.011,time
gotobi,USDJPY,2019-11-20 02:55:00,2019-11-20 08:00:00,SELL,108.58458,108.52432,0.27098,signal
gotobi,USDJPY,2019-11-25 02:55:00,2019-11-25 08:00:00,SELL,108.78025,108.85814,0.2405,signal
gotobi,USDJPY,2019-11-29 02:55:00,2019-11-29 08:00:00,SELL,109.53497,109.47632,0.21269,signal
meanrev,EURUSD,2019-12-05 01:00:00,2019-12-13 00:00:00,SELL,1.10785,1.11782,0.00997,stop
gotobi,USDJPY,2019-12-05 02:55:00,2019-12-05 08:00:00,SELL,108.86515,108.78717,0.2308,signal
meanrev,USDCAD,2019-12-09 01:00:00,2019-12-16 15:00:00,BUY,1.32545,1.31215,0.0133,stop
gotobi,USDJPY,2019-12-10 02:55:00,2019-12-10 08:00:00,SELL,108.64198,108.62655,0.21581,signal
gotobi,USDJPY,2019-12-13 02:55:00,2019-12-13 08:00:00,SELL,109.51055,109.56992,0.23738,signal
